CS:GO Commands List
Below is Total CS:GO's searchable list of all 3057 CS:GO console commands. Each command in our database has detailed documentation, with help and argument explanation (hover over a command to view). Click on a command's name to visit its individual page, on which you can find more information including working examples and its default setting or value.

Type the name of a command into the search box to instantly filter 3057 commands. Toggle between different views by pressing the "Card View" and "Table View" buttons. If you are looking for a more specific selection of commands, you may prefer to sort by category.

Type to search...
Name	Syntax	Description
cl_radar_rotate	cl_radar_rotate [0 / 1]	This command toggles whether or not your radar rotates as you rotate and look around with your camera. Some players find disabling this feature makes it easier to use the radar.
joy_inverty	joy_inverty [0 / 1]	This console command is used to set whether you want to invert the Y axis for looking around on a joystick. When this command is turned on, moving the joystick up, or forward, will make your character look down.
joy_movement_stick	joy_movement_stick [0 / 1 / 2]	This console command is used to determine which stick on the joystick controls the movement of your player model.
key_listboundkeys	key_listboundkeys	This console command lists all of the keys and buttons you have that have a specific action bound to them (e.g. the space bar being bound to jump).
sv_infinite_ammo	sv_infinite_ammo [0 / 1 / 2]	This command, if set to 1, will give you infinite ammunition for your weapon allowing you to fire your gun continuously. If you set this command to 2, you will have infinite ammo to reload with, but you will still run out of ammo after firing all of the bullets in your gun's clip.
cl_autowepswitch	cl_autowepswitch [0 / 1]	This command changes whether or not you automatically equip a weapon you just picked up.
cl_color	cl_color [Color Value]	This useful command sets your preference for what color you like to be in matchmaking. This color is shown on the radar and on your Steam avatar when in the lobby.
cl_crosshairalpha	cl_crosshairalpha [Alpha Value]	This command sets how transparent your crosshair is on your screen. The lower the value, the less visible your crosshair is.
cl_hud_playercount_pos	cl_hud_playercount_pos [0 / 1]	Use this command to adjust where the player count (players who are in the server) menu is shown on your HUD. This also changes where the scoreboard is, that shows rounds won by each team. You can place it at the top of your screen or at the bottom.
cl_pitchdown	cl_pitchdown [Degrees]	This fun command controls how many degrees down from eye level you can move your camera. That means you can edit this command to allow you to look under you, effectively looking through your character model's legs at what is behind you.
cl_pitchup	cl_pitchup [Degrees]	This fun console command controls how many degrees from eye level you can look up into the sky. This can be adjusted to let you look so far around that you end up seeing behind you.
cl_radar_icon_scale_min	cl_radar_icon_scale_min [Icon Scale]	This console command changes how large your character dot appears on the radar.
cl_showpos	cl_showpos [0 / 1]	This command will show you values for where exactly on the map you are located. This will appear in the top left of your screen by default. It also shows your velocity (run speed).
clear	clear	This console command clears all of the previous entries and data from the developer console. It is good to do every so often to make the console more readable.
inferno_damage	inferno_damage [Damage Per Second]	This fun console command is used to change how much damage molotov and incendiary grenades do . When cheats are activated, you can set this value to be incredibly high or incredibly low.
inferno_flame_lifetime	inferno_flame_lifetime [Burn Time]	This console command changes how long the fires burn from molotov and incendiary grenades. It allows you to make them last for just a moment, or for an extended period of time.
inferno_max_range	inferno_max_range [Range]	This command sets the maximum distance that flames from a molotov or incendiary grenade can spread from their initial point of impact with the ground.
jpeg	jpeg [File Name]	This command is used to take a screenshot. You can specify the file name in the command.
map	map [Map Code]	Use this console command to instantly change the map you're currently playing to a different map.
mp_afterroundmoney	mp_afterroundmoney [Amount]	This command sets the amount of money that is award to every player on every team at the end of each round, regardless of win/loss. Default is 0 (win/loss bonus is set with a different command).
mp_autokick	mp_autokick [0 / 1]	This command sets whether or not the auto kick feature should be enabled. The auto kick feature kicks people for being idle (AFK) and team damage. Default is 1 (enabled).
mp_autoteambalance	mp_autoteambalance [0 / 1]	This command can be used to enable or disable the auto team balance feature. This feature will swap players around teams at the end of a round if there are an unequal amount of players on either time (i.e. if team A has 1 player and team B has 3, at the end of the round, 1 player from team B would be automatically moved over to team A).
net_graph	net_graph [0 / 1 / 2 / 3]	This command will enable (set to 1) and disable (set to 0) the net graph display, which shows ping, FPS and other client variables.
notarget	notarget	This command toggles whether or not bots are aware of your player. When this is enabled, bots will not attack you (or even react to you).
sv_grenade_trajectory	sv_grenade_trajectory [0 / 1]	This command, if enabled (1), shows the trajectory of grenades (as colored lines). Default is 0 (disabled).
viewmodel_presetpos	viewmodel_presetpos [1 / 2 / 3]	This command will set your X/Y/Z viewmodel offsets to a preset configuration. See argument information for help.
-cl_show_team_equipment	-cl_show_team_equipment	This command disables the effect of the +cl_show_team_equipment, which puts the names/equipment of the members of your team permanently above their head.
+cl_show_team_equipment	+cl_show_team_equipment	This command puts the names of your teammates and the equipment they're carrying above their head permanently (usually just shows at the start of the round). Use -cl_show_team_equipment to disable.
mp_drop_knife_enable	mp_drop_knife_enable [0 / 1]	This command allows players to drop their knives.
sv_autobunnyhopping	sv_autobunnyhopping [0 / 1]	This command, if set to 1, will make you automatically bunny hop by holding down the space bar. Default is disabled (1).
snd_mvp_volume	snd_mvp_volume [Volume]	This useful console command sets how long the MVP music is when a player with a MVP kit wins MVP award that round.
sv_ledge_mantle_helper	sv_ledge_mantle_helper [0 / 1 / 2]	This console command, when enabled, makes it easier to crouch jump into windows or ledges.
sv_prime_accounts_only	sv_prime_accounts_only [0 / 1]	This command, if set to 1, makes it so that only prime accounts can connect to the server. Default on most servers is 0 (meaning non-prime players can connect).
BindToggle	BindToggle [Bind Key] ["Bind Command"]	This command assigns a hotkey (key on your keyboard, or button on your mouse) to switch through the various values a specified console command has (when pressed or clicked). This is useful for setting up binds that toggle a certain feature. For example,"voice_enable" would be toggled between 0 and 1 (disabled and enabled).
cl_autobuy	cl_autobuy [Weapon codes]	This command is used to set up your autobuy preferences, meaning you can purchase the most vital gear each round by just typing "autobuy" into your console once this is set up.
cl_crosshaircolor_b	cl_crosshaircolor_b [Blue Value]	This console command allows you to set the color of your crosshair with detail, by adjusting its level of blue. The same command exists for red and green.
cl_crosshaircolor_g	cl_crosshaircolor_g [Green Value]	This console command allows you to set the color of your crosshair with detail, by adjusting its level of green. The same command exists for red and blue.
cl_crosshaircolor_r	cl_crosshaircolor_r [Red Value]	This console command allows you to set the color of your crosshair with detail, by adjusting its level of red. The same command exists for green and blue.
cl_crosshairgap_useweaponvalue	cl_crosshairgap_useweaponvalue [0 / 1]	When activated, this command will dynamically adjust the size of your crosshair depending on what weapon you have equipped at the time.
cl_disablehtmlmotd	cl_disablehtmlmotd [0 / 1]	This command can be used to disable HTML "messages of the day" (MOTDs)in the client (by setting it to 1). HTML MOTDs are the the web pages/text that pops up when you join a server, sometimes they play volume or loud ads. Default is 0, which makes HTML MOTDs enabled.
cl_forwardspeed	cl_forwardspeed [Speed]	This movement console command is used to set the speed you run at when moving forward.
cl_hideserverip	cl_hideserverip [0 / 1]	This console command is used to hide the IP of your server in your console. This is particularly useful if you're streaming and don't want viewers to be able to catch your IP address, giving them the chance the DDoS the server.
cl_hud_healthammo_style	cl_hud_healthammo_style [0 / 1]	This command is used to toggle between whether or not you want your health & armor bars at the bottom of your screen to show their numeric value (e.g 80 health) and a bar to represent this, or just show the number.
cl_idealpitchscale	cl_idealpitchscale [Pitch Value]	This console command adjusts the pitch of the sound in game, and can cause shooting bullets sound different to usual.
cl_rebuy	cl_rebuy [Item Order]	This console command sets the order in which the game client rebuys your gear. It can be adjusted to give priority to other purchases, such as defuse kits, grenades and more.
cl_sidespeed	cl_sidespeed [Speed]	This movement console command sets how quickly you can move while running sideways.
inferno_friendly_fire_duration	inferno_friendly_fire_duration [Duration]	This command sets how long after you've damaged a teammate with a molotov or an incendiary grenade the server tells you that you've damaged someone on your team.
inferno_scorch_decals	inferno_scorch_decals [0 / 1]	You can use this console command to prevent molotovs and incendiary grenades you throw from leaving scorch decals (scorch marks) on the ground once they burn out.
listissues	listissues	This useful console command produces a list in your developer console of the different things you can vote for in your server . This includes voting to change the map and voting to kick a player.
m_rawinput	m_rawinput [0 / 1]	This command enables raw input from your mouse, if set to 1 (default). When raw input is enabled, input is taken directly from your mouse and your operating system settings (like acceleration, delay, etc) will not come into play.
mm_dedicated_search_maxping	mm_dedicated_search_maxping [Max Ping]	This console command is used to set your max preferred ping when connecting to matchmaking servers. It can be beneficial to adjust this command if you find yourself being put in laggy servers.
mp_buy_allow_grenades	mp_buy_allow_grenades [0 / 1]	This command sets whether or not players can purchase any form of grenade from the buy menu. Default is 1 (enabled).
mp_buy_anywhere	mp_buy_anywhere [0 / 1 / 2 / 3]	This command can be used to set whether or not players can access the buy menu when they are outside of the buyzone. Note that they still need to be within the buy time period - you can change the buy time period with mp_buytime.
mp_buy_during_immunity	mp_buy_during_immunity [0 / 1 / 2 / 3]	This command makes it so that players can buy when they are immune, regardless of the current buy time. This is used commonly in deathmatch servers. See argument information for options. Default is 0 (disabled).
mp_buytime	mp_buytime [Seconds]	This command sets the amount of time (in seconds) that players have after a round starts to purchase items. This is the time period AFTER the round countdown. So players have the countdown at the start of the round (usually 15 seconds), plus this time period to buy.
mp_c4timer	mp_c4timer [Seconds]	This command sets how many seconds it takes for the bomb to explode after it has been planted by the terrorists. Default is 40 seconds or 35 seconds, depending on gamemode.
mp_competitive_endofmatch_extra_time	mp_competitive_endofmatch_extra_time [Seconds]	This command sets the amount of time (in seconds) that the scoreboard will show for (or voting time there will be) after a competitive match ends. Default is 15 seconds.
mp_ct_default_grenades	mp_ct_default_grenades [Grenade Code(s)]	This command sets the default grenades that counter terrorists spawn with. Default is none (0). Separate multiple grenades with spaces.
